account,name,link
@konrad@scholar.social	Konrad M. Lawson
@qiao_j@mastodon.online	Coraline Jortay
@torstenkathke@mastodon.social	Torsten Kathke
@AnkeFK@mastodon.social	Dr. Anke Fischer-Kattner 
@sfern@mastodon.social	Susan Fernsebner
@ChTagsold@fediscience.org	Christian Tagsold
@scott_bot@scholar.social	Scott B. Weingart
@oliviodare@scholar.social	Max Bautista Perpinyà
@jpjjr1961@scholar.social	John Jackson
@hildedeweerdt@mastodon.social	Hilde De Weerdt
@sudasana@mastodon.social	Gregory Scott
@tkinias@mstdn.social	Thanasis Kinias
@jjgarsha@mastodon.social	Jeremiah Garsha
@mbarcia24@mastodon.social	Manuel Barcia
@telliott@scholar.social	Tom Elliott
@rheinze@scholar.social	Robert Heinze
@sabrinakirschner@mastodon.social	Sabrina Kirschner
@ebeth@rage.love	ebeth
@jeffjarvis@mastodon.social	Jeff Jarvis
@anaxanthas@nrw.social	Ariane Hertel
@jqheywood@mastodon.social	John Quentin Heywood
@benmschmidt@vis.social	Ben Schmidt
@court@dreamers-guild.net	Courtney Herber
@Jelmerevers@mastodon.social	Jelmer Evers
@robertwolff@mastodon.social	Robert Wolff
@TedUnderwood@scholar.social	Ted Underwood
@rachelcleves@mastodon.social	Rachel Hope Cleves
@amandahk@mastodon.social	Amanda Hendrix-Komoto
@whanley@scholar.social	Will Hanley
@VCP@mastodon.social	Vimala C. Pasupathi 
@JohannaMellis@Mastodon.social	Johanna Mellis
@igallupd@scholar.social	Ignacio Gallup-Diaz
@dorotheegoetze@scholar.social	Dorothée Goetze 
@slevelt@scholar.social	Sjoerd Levelt
@rauchway@mastodon.social	Eric Rauchway
@bookandswordblog@scholar.social	S. Manning
@SurekhaDavies@Mastodon.social	Dr Surekha Davies
@chris_levesque@mastodon.online	Chris Levesque
@helenpugh@mastodon.online	Helen Pugh
@FeministKelly@mastodon.social	Kelly Therese Pollock
@cgoodhistorian@mastodon.social	Cassandra Good
@Passamezzo@mastodon.social	Tamsin Lewis
@zoeleblanc@mastodon.social	Zoe LeBlanc
@gauthamrao@mastodon.social	Gautham Rao
@dambaras@mastodon.social	David Ambaras
@seanmunger@metalhead.club	Sean Munger
@nicoledonawho@mstdn.social	Nicole Donawho
@AniketAlam@scholar.social	Aniket Alam
@pashulman@mastodon.social	Peter Shulman
@ANHill@mastodon.social	A. Nicole Hill
@BlankTGM@scholar.social	Thomas G. M. Blank
@KatinSATX@mstdn.social	Katherine Kuehler Walters
@elenawicker@mastodon.social	Elena Wicker
@coastalhistory@mastodon.social	Isaac Land
@Gvaughnjoy@mastodon.social	Vaughn Joy 
@daelnorwood@mastodon.social	Dael Norwood
@pedantka@scholar.social	A. M. Vincent
@pizzohistorian@mastodon.social	David Pizzo
@AspiringLuddite@medievalist.masto.host	Jeff Berry
@ichatterjea@mstdn.social	Ipsita Chatterjea 
@pkhardy@mastodon.social	Penelope K. Hardy
@glebalbert@mastodon.social	Gleb J. Albert
@jburnford@mastodon.social	Jim Clifford 
@heidilifeldman@mastodon.social	Heidi Li Feldman
@susandamussen@mastodon.social	Susan Amussen
@jbprestel@mastodon.social	Joseph Ben Prestel
@JanisThiessen@mastodon.social 	Dr. Janis Thiessen
@ejharvey@mastodon.social	Eleanor Harvey
@RyanFischer@mastodon.social	Ryan Fischer
@willthewordguy@mastodon.social	Will Mari
@CathrynPearce@mastodon.social	Cathryn Pearce
@bencarp@mastodon.social	Benjamin Carp
@onslies@scholar.social	Liesbeth Corens
@stephanie_seul@mastodon.social	Dr. Stephanie Seul
@serenewilliams@mstdn.social	Serene Bennett Williams
@wilko@scholar.social	Wilko Hardenberg
@elbriesacher@mastodon.social	Erika L. Briesacher
@markcheathem@mstdn.social	Mark Cheathem
@fossilhistory@mastodon.social	Paige Madison
@awatson8381@mastodon.social	Andrew Watson
@hepplerj@mastodon.social	Jason Heppler
@daphnaorenm@mastodon.social	Daphna Oren-Magidor 
@lavaeolus@mastodon.lol	Henrik Schönemann
@sethcotlar@mastodon.social	Seth Cotlar
@TheOtherRBG@mastodon.social	Rebecca Brenner Graham, PhD
@MichelleMSikes@mastodon.social	Michelle Sikes
@csissoko@mstdn.social	Carolyn Sissoko
@eranzelnik@mastodon.social 	Eran Zelnik
@thetattooedhistorian@mastodon.social	John Heckman (The Tattooed Historian)
@SaraRead@mastodon.online	Sara Read
@DrEricaJohnson@mastodon.social	Erica Johnson Edwards
@Northcat@mastodon.social	Catherine Murton Stoehr
@terraform@mastodon.social	Alan Maričić
@imanimosley@mastodon.social	Imani Mosley
@1gillianfrank1@mastodon.social	Gillian Frank
@michaelhattem@mastodon.social	Michael Hattem
@kbgraubart@mastodon.social	Karen Graubart
